,Role,Company,Location,Min_Salary,Max_Salary,Average_Salary,Employment Type,Min_Experience,Max_Experience,UG,PG,Doctorate,Key Skills,Industry Type,Department,Role Category,Date Posted,Openings,Applications,Reviews
668,full stack developer,outsourced quality assured services pty ltd,['ahmedabad'],,,,"full time, permanent",8,12,b.tech/b.e.,Not Specified,Not Specified,"['api', 'aws', 'linux', 'postgresql', 'python', 'ubuntu']",software product,engineering - software and qa,software development,26-08-2024,6,155,
669,it security - other,enflexis solutions,['pune'],,,,"full time, permanent",2,6,b.tech/b.e.,Not Specified,Not Specified,"['analytics', 'data analytics', 'python', 'software quality assurance', 'test planning']",it services and consulting,it and information security,it security,09-09-2024,270,432,
670,software development - other,collabera,"['bangalore', 'hyderabad']",,,,"full time, permanent",3,8,Any Graduate,Not Specified,Not Specified,"['django', 'flask', 'pyramid', 'python']",it services and consulting,engineering - software and qa,software development,19-08-2024,1,2263,
671,software development - other,purview india consulting and services llp,['pune'],1500000.0,2000000.0,1750000.0,"full time, temporary/contractual",6,10,Any Graduate,any postgraduate,ph.d/doctorate,"['aws', 'pandas', 'python', 'python development']",it services and consulting,engineering - software and qa,software development,01-09-2024,3,219,
672,software development - other,it consultancy group,['new delhi'],,,,"full time, permanent",7,12,b.tech/b.e.,m.tech,Not Specified,"['django', 'flask', 'python', 'python development', 'python framework']",it services and consulting,engineering - software and qa,software development,01-09-2024,1,71,
673,system analyst,top most mncs company,['ahmedabad'],1000000.0,1500000.0,1250000.0,"full time, permanent",2,7,Any Graduate,Not Specified,Not Specified,"['dns', 'networking products', 'python', 'python development', 'tcp/ip']",hardware and networking,it and information security,it infrastructure services,09-09-2024,1,184,
674,back end developer,trigent software,['hyderabad'],1200000.0,2200000.0,1700000.0,"full time, temporary/contractual",3,8,b.tech/b.e.,Not Specified,Not Specified,"['ci/cd', 'db', 'django', 'flask', 'git', 'pyramid', 'python', 'sybase', 'sybase iq']",it services and consulting,engineering - software and qa,software development,19-08-2024,12,2067,3.7
675,full stack developer,s p a enterprise info services,['hyderabad'],,,,"full time, permanent",7,12,Any Graduate,any postgraduate,Not Specified,"['api development', 'aws lambda', 'database management', 'dynamodb', 'python', 'restful apis', 'serverless architectures', 'sql queries']",it services and consulting,engineering - software and qa,software development,11-08-2024,1,99,4.4
676,back end developer,infosys,['hyderabad'],,,,"full time, permanent",5,8,b.tech/b.e.,any postgraduate,Not Specified,"['agile methodologies', 'big data', 'data processing', 'debugging', 'python', 'software quality assurance']",it services and consulting,engineering - software and qa,software development,10-08-2024,,78,3.8
677,full stack developer,advarisk,['pune'],,,,"full time, permanent",3,8,b.tech/b.e.,mca,ph.d/doctorate,"['api', 'css', 'css3', 'django', 'flask', 'html', 'html5', 'java', 'javascript', 'jquery', 'python', 'restful api']",it services and consulting,engineering - software and qa,software development,26-08-2024,1,1265,4.6
678,other,protiviti india,"['bangalore', 'hyderabad']",300000.0,600000.0,450000.0,"full time, permanent",1,5,Any Graduate,Not Specified,Not Specified,"['django', 'flask', 'pyramid', 'python', 'python development']",recruitment / staffing,other,other,19-08-2024,1,1823,3.3
679,software development - other,ultra tech labs,"['bangalore', 'chennai', 'hyderabad', 'kolkata', 'mumbai', 'new delhi', 'pune']",,,,"full time, permanent",3,5,Any Graduate,any postgraduate,Not Specified,"['analytical skills', 'architecture', 'backend', 'debugging', 'django', 'front end', 'programming', 'python', 'side', 'testing']",it services and consulting,engineering - software and qa,software development,10-08-2024,1,1492,
680,software development - other,huntertech ventures,['bangalore'],,,,"full time, permanent",0,2,Any Graduate,any postgraduate,Not Specified,"['artificial intelligence', 'aws', 'c', 'css', 'data science', 'data structures', 'debugging', 'django', 'flask', 'git', 'html', 'javascript', 'linux', 'machine learning', 'mysql', 'natural language processing', 'oops', 'pandas', 'postgresql', 'programming', 'python', 'python development', 'software testing', 'sql']",it services and consulting,engineering - software and qa,software development,10-08-2024,1,12267,
681,head - engineering,elite technocrats,['surat'],,,,"full time, permanent",0,4,Any Graduate,any postgraduate,Not Specified,"['analytical skills', 'data science', 'django', 'python', 'rdbms', 'sql', 'web technologies']",it services and consulting,engineering - software and qa,software development,10-08-2024,1,2395,2.1
682,back end developer,velocitai digital,['gurgaon'],,,,"full time, permanent",3,5,Any Graduate,Not Specified,Not Specified,"['django', 'machine learning', 'python']",it services and consulting,engineering - software and qa,software development,28-08-2024,1,994,4.3
683,back end developer,tekaccel software services,"['bangalore', 'chennai', 'pune']",,,,"full time, permanent",5,7,Not Specified,any postgraduate,Not Specified,"['aws', 'django', 'docker', 'microservices', 'python', 'rest api services', 'sql queries', 'web development']",it services and consulting,engineering - software and qa,software development,28-08-2024,1,583,4.6
684,back end developer,techhost services,"['bangalore', 'chennai', 'hyderabad', 'kolkata', 'mumbai', 'new delhi', 'pune']",,,,"full time, permanent",5,7,Any Graduate,any postgraduate,Not Specified,"['computer science', 'data analysis', 'data structures', 'git', 'machine learning', 'prototype', 'python', 'software design', 'technical documentation', 'version control']",it services and consulting,engineering - software and qa,software development,19-08-2024,1,65,
685,back end developer,iqgateway,['bangalore'],,,,"full time, permanent",4,6,Any Graduate,Not Specified,Not Specified,"['celery', 'django', 'postgresql', 'python']",software product,engineering - software and qa,software development,10-09-2024,1,13,
686,full stack developer,outplayed.com,['hyderabad'],,,,"full time, permanent",1,5,Any Graduate,any postgraduate,Not Specified,"['head business development', 'management', 'programming', 'python', 'usage', 'web technologies']",events / live entertainment,engineering - software and qa,software development,10-08-2024,1,564,
687,full stack developer,define next innovations,['gurgaon'],,,,"full time, permanent",2,3,b.tech/b.e.,Not Specified,Not Specified,"['django', 'fast api', 'flask', 'python development', 'python framework']",it services and consulting,engineering - software and qa,software development,30-08-2024,5,1625,
688,full stack developer,brand threat analytics,['noida'],,,,"full time, permanent",2,4,b.tech/b.e.,Not Specified,Not Specified,"['and mongodb', 'expressjs', 'fullstack development', 'nodejs', 'python', 'react.js', 'reactjs', 'software development', 'software engineering', 'software engineering process']",it services and consulting,engineering - software and qa,software development,07-09-2024,1,1174,
689,software development - other,live connections,['hyderabad'],800000.0,1600000.0,1200000.0,"full time, permanent",4,9,b.tech/b.e.,Not Specified,Not Specified,"['aws', 'dynamo db', 'python', 'sns', 'sqs']",it services and consulting,engineering - software and qa,software development,04-09-2024,1,237,
690,data engineer,biofin capital,['hyderabad'],350000.0,475000.0,412500.0,"full time, permanent",2,5,b.tech/b.e.,m.tech,Not Specified,"['azure', 'data automation', 'data cleansing', 'data manipulation', 'data processing', 'data science', 'exploratory data analysis', 'numpy', 'pandas', 'python', 'python development', 'software development', 'sql', 'statistical analyses', 'validation testing', 'web crawling', 'web scraping']",fintech / payments,data science and analytics,data science and machine learning,15-08-2024,1,1086,
